Variable,RFImportance
38.3_98.0598m/z,0.0
90.01_98.0598m/z,0.0
137.99_98.0597m/z,0.0
81.82_98.0598m/z,0.0
98.95_98.0597m/z,0.0
61.3_98.0598m/z,0.0
157.0_98.0598m/z,0.0
165.15_98.0774m/z,0.0
56.07_98.0961m/z,0.0
41.06_98.0961m/z,0.0
81.08_98.0961m/z,0.0
111.93_98.096m/z,0.0
90.76_99.0438m/z,0.0
53.99_99.0438m/z,0.0
101.79_99.0438m/z,0.0
171.24_99.0438m/z,0.0
63.15_99.0549m/z,0.0
89.52_99.0628m/z,0.0
68.32_99.0914m/z,2.31748823511702e-05
56.09_99.0993m/z,4.2129313901406336e-05
81.03_99.1004m/z,1.2580837769424181e-05
50.07_100.0213m/z,0.0
47.65_100.0391m/z,0.0
57.37_100.039m/z,0.0
36.43_100.0754m/z,0.0
82.89_100.0754m/z,0.0
92.08_100.0754m/z,0.0
100.2_100.0753m/z,0.0
136.72_100.0755m/z,0.0
129.27_100.0755m/z,0.0
47.51_100.0754m/z,0.0002755917218564059
58.25_100.0754m/z,0.0
172.93_100.0754m/z,0.0
115.83_100.0754m/z,0.00015172676228815263
157.0_100.0754m/z,0.0
108.56_100.0754m/z,0.0
220.84_100.0754m/z,0.0
285.78_100.0754m/z,0.0
145.39_100.0754m/z,9.207128718933632e-05
129.28_100.1037m/z,7.019550779249513e-05
136.72_100.1031m/z,0.0
91.06_100.1117m/z,0.0
73.43_100.1116m/z,0.0
52.54_100.1117m/z,0.0
113.53_100.1117m/z,0.0
129.32_100.1528m/z,0.00011326131126178929
169.33_101.0052m/z,0.0
38.14_101.0166m/z,0.002047499658188007
121.09_101.0416m/z,0.0002105929264435624
50.14_101.0594m/z,0.0
145.92_101.0594m/z,0.0
217.94_101.0706m/z,0.0
136.72_101.0785m/z,0.0
129.25_101.0785m/z,0.0
83.1_101.0785m/z,0.0
172.91_101.0784m/z,0.0
47.49_101.0785m/z,0.0
151.72_102.0368m/z,9.646098713393302e-05
125.41_102.0461m/z,0.0
319.27_102.0461m/z,0.0
41.88_102.0547m/z,1.1744578959592036e-05
53.32_102.0547m/z,0.0
79.01_102.0546m/z,0.0
217.92_102.0546m/z,0.0
61.21_102.0547m/z,0.0
49.85_102.091m/z,0.0
54.02_103.0208m/z,0.0
45.55_103.0387m/z,0.0
342.0_103.0388m/z,0.00013016312948179208
177.33_103.0387m/z,0.0
294.52_103.0412m/z,0.0
87.61_103.0538m/z,0.0
125.43_103.054m/z,0.00024434322896741756
319.26_103.054m/z,0.0
235.03_103.0538m/z,9.246593142316115e-05
266.2_103.0538m/z,0.0
221.74_103.0538m/z,0.0
184.76_103.0539m/z,0.0
100.59_103.0538m/z,0.0
176.9_103.0538m/z,9.87550004620889e-06
282.21_103.0538m/z,0.0
209.87_103.0538m/z,0.0
147.97_103.0538m/z,0.0
163.11_104.0491m/z,0.0
60.99_104.0523m/z,8.847078950007851e-05
125.42_104.057m/z,1.4656577377115245e-05
319.25_104.0573m/z,0.0
56.63_104.0703m/z,0.0
348.14_104.1066m/z,0.0
44.04_105.0001m/z,5.564911643355727e-05
54.39_105.0001m/z,0.0001769327347365394
215.72_105.0026m/z,0.0
215.86_105.0335m/z,0.0
264.41_105.0332m/z,0.00012708653930120417
95.8_105.0359m/z,0.0
234.83_105.0334m/z,0.0
193.69_105.0332m/z,8.376869548397475e-05
83.89_105.036m/z,0.0
333.66_105.0696m/z,0.0
257.7_105.0695m/z,0.0
147.85_105.0695m/z,0.0002322307459654112
114.65_105.0695m/z,0.0
225.7_105.0696m/z,0.0
215.71_105.0824m/z,0.0
215.73_105.113m/z,0.0
215.72_105.1693m/z,0.0
215.73_105.1968m/z,0.0
215.69_105.2195m/z,0.0
215.67_106.0365m/z,0.0
264.38_106.0362m/z,0.0
80.4_106.0495m/z,6.744668800102704e-05
189.05_106.0495m/z,0.0
49.17_106.0495m/z,0.0
206.42_106.0648m/z,0.0
215.78_106.064m/z,0.0
259.08_106.0648m/z,0.0
144.2_106.0648m/z,0.0
75.89_106.0648m/z,0.0
333.56_106.0726m/z,0.0
43.33_107.0158m/z,1.3217358797887899e-05
215.7_107.0387m/z,0.0
234.19_107.0488m/z,0.00011352246217086415
147.04_107.0488m/z,0.0
89.54_107.0488m/z,0.0
176.44_107.0488m/z,0.0
259.33_107.0488m/z,0.0
207.32_107.0488m/z,0.0
125.58_107.0489m/z,0.0
294.2_107.0488m/z,0.0
357.49_107.0488m/z,5.682971817672969e-05
163.96_107.0488m/z,0.0
116.6_107.0487m/z,0.0
327.52_107.0488m/z,3.732052544721569e-05
